timestamp,tier,variant,phase,mem_total_kib,mem_available_kib,load1,load5,load15,process_count
2026-08-26T05:06:28Z,1024,before,mem-after10,992936,808360,0.01,0.00,0.00,4
2026-08-26T05:06:50Z,1024,before,mem-after30,992936,803028,0.00,0.00,0.00,4
2026-08-26T05:07:01Z,1024,before,compose-up,992936,712704,0.00,0.00,0.00,4
2026-08-26T05:08:19Z,1024,after,idle-1,992936,811996,0.05,0.01,0.00,4
2026-08-26T05:08:26Z,1024,after,idle-2,992936,807944,0.05,0.01,0.00,4
2026-08-26T05:08:32Z,1024,after,idle-3,992936,805668,0.04,0.01,0.00,4
2026-08-26T05:08:39Z,1024,after,idle-4,992936,812572,0.11,0.03,0.01,4
2026-08-26T05:08:46Z,1024,after,idle-5,992936,807188,0.10,0.03,0.01,4
2026-08-26T05:08:52Z,1024,after,idle-6,992936,805740,0.09,0.03,0.01,4
2026-08-26T05:09:59Z,1024,after,mem-idle,992936,804844,0.03,0.02,0.00,4
2026-08-26T05:10:04Z,1024,after,mem-load,992936,667392,0.02,0.02,0.00,4
2026-08-26T05:10:11Z,1024,after,mem-hold10,992936,666876,0.02,0.02,0.00,4
2026-08-26T05:10:22Z,1024,after,mem-hold30,992936,670764,0.02,0.02,0.00,4
2026-08-26T05:10:26Z,1024,after,mem-release,992936,809112,0.10,0.04,0.01,4
2026-08-26T05:10:38Z,1024,after,mem-after10,992936,810244,0.08,0.03,0.00,4
2026-08-26T05:10:59Z,1024,after,mem-after30,992936,809512,0.05,0.03,0.00,4
2026-08-26T05:11:10Z,1024,after,compose-up,992936,723420,0.04,0.03,0.00,4
